CREATION DATE,STATUS,COMPLETION DATE,SERVICE REQUEST NUMBER,TYPE OF SERVICE REQUEST,CURRENT ACTIVITY,MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,STREET ADDRESS,ZIP,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,LOCATION
03/09/2013,Open,,13-00263619,Pot Hole in Street,,,,3057 S LOCK ST,60608,1167728.76657256,1884521.01766933,11,9,60,41.8386709324185,-87.66001412172334,"(41.8386709324185, -87.66001412172334)"
03/09/2013,Open,,13-00263647,Pot Hole in Street,,,,5128 N BROADWAY,60640,1167384.07502501,1934356.10988015,46,20,3,41.97542898963398,-87.65984315437628,"(41.97542898963398, -87.65984315437628)"
03/09/2013,Open,,13-00263633,Pot Hole in Street,,,,5150 N NORTHWEST HWY,60630,1138446.20227079,1933622.19947639,45,16,11,41.97399005343768,-87.7662768474892,"(41.97399005343768, -87.7662768474892)"
03/09/2013,Open,,13-00263845,Pot Hole in Street,,,,2900 W 72ND ST,60629,1158284.94831954,1856755.19672435,18,8,66,41.76267574216697,-87.69542447939946,"(41.76267574216697, -87.69542447939946)"
03/09/2013,Open,,13-00263761,Pot Hole in Street,,,,8700 S ASHLAND AVE,60620,1167189.62153222,1847025.33330955,21,22,71,41.73578978496187,-87.66306513451563,"(41.73578978496187, -87.66306513451563)"
03/09/2013,Open,,13-00263729,Pot Hole in Street,,,,1834 N LINCOLN AVE,60614,1174206.56440674,1912711.96371489,43,18,7,41.915886871897634,-87.63540276254604,"(41.915886871897634, -87.63540276254604)"
03/09/2013,Open,,13-00263697,Pot Hole in Street,,,,1767 W 95TH ST,60643,1166067.2660976,1841681.37110267,19,22,72,41.72114904924376,-87.66732852102133,"(41.72114904924376, -87.66732852102133)"
03/09/2013,Open,,13-00263841,Pot Hole in Street,,,,11400 S COTTAGE GROVE AVE,60628,1181523.55736975,1829481.2800139,9,5,49,41.68732832348504,-87.61109036554507,"(41.68732832348504, -87.61109036554507)"
03/09/2013,Open,,13-00263778,Pot Hole in Street,,,,936 W 19TH ST,60608,1170484.58541473,1891109.55028498,25,12,31,41.856690704256636,-87.64970921719492,"(41.856690704256636, -87.64970921719492)"
03/09/2013,Open,,13-00263833,Pot Hole in Street,,,,2246 W BELMONT AVE,60618,1160825.78419667,1921212.0282097,32,19,5,41.93949989627022,-87.68432633857746,"(41.93949989627022, -87.68432633857746)"
03/09/2013,Open,,13-00263791,Pot Hole in Street,,,,6600 S ELLIS AVE,60637,1184024.12921621,1861455.72890524,5,3,42,41.775011926065304,-87.60094016215646,"(41.775011926065304, -87.60094016215646)"
03/09/2013,Open,,13-00263909,Pot Hole in Street,,,,648 W 83RD ST,60620,1173263.20979826,1849856.56829216,21,6,71,41.74342711404598,-87.64073031867807,"(41.74342711404598, -87.64073031867807)"
03/09/2013,Open,,13-00264015,Pot Hole in Street,,,,6412 W HIGGINS AVE,60656,1132458.79018881,1934468.88171649,41,16,10,41.97642007376957,-87.78827476119888,"(41.97642007376957, -87.78827476119888)"
03/09/2013,Open,,13-00263960,Pot Hole in Street,,,,6200 N CENTRAL AVE,60646,1138774.81698498,1941041.64178377,41,16,12,41.99434362611683,-87.76488734802919,"(41.99434362611683, -87.76488734802919)"
03/09/2013,Open,,13-00263896,Pot Hole in Street,,,,625 E 79TH ST,60619,1181869.75947303,1852766.09823217,6,6,44,41.75121676753054,-87.60910589764913,"(41.75121676753054, -87.60910589764913)"
03/09/2013,Open,,13-00263959,Pot Hole in Street,,,,5869 N CENTRAL AVE,60646,1138054.66960978,1938677.62019001,45,16,11,41.98786965247761,-87.76759385511178,"(41.98786965247761, -87.76759385511178)"
03/09/2013,Open,,13-00263911,Pot Hole in Street,,,,1709 N LA SALLE DR,60614,1174827.69077103,1911739.70449785,43,18,7,41.91320505693239,-87.63314997147073,"(41.91320505693239, -87.63314997147073)"
03/09/2013,Open,,13-00263944,Pot Hole in Street,,,,8332 W ADDISON ST,60634,1119772.05642831,1922866.20747837,36,16,17,41.94479293759146,-87.83517826876079,"(41.94479293759146, -87.83517826876079)"
03/09/2013,Open,,13-00263926,Pot Hole in Street,,,,5207 N WESTERN AVE,60625,1159410.82287456,1934537.7749829,40,20,4,41.97609575458041,-87.68915857059667,"(41.97609575458041, -87.68915857059667)"
03/09/2013,Open,,13-00264011,Pot Hole in Street,,,,6320 W HIGGINS AVE,60630,1133033.22449009,1934225.35582544,45,16,11,41.97574176665337,-87.7861680117842,"(41.97574176665337, -87.7861680117842)"
03/09/2013,Open,,13-00263977,Pot Hole in Street,,,,4746 N KILPATRICK AVE,60630,1144174.36979854,1931141.88340336,45,17,16,41.96707789577824,-87.74527517169597,"(41.96707789577824, -87.74527517169597)"
